url,source_type,source_id,source_priority,domain,protocol
"https://www.regjeringen.no/no/dokumenter/nou-2011-4/id640128/",report_canonical,nou-2011-4,5.0,regjeringen.no,https
"https://www.regjeringen.no/no/dokumenter/nou-2022-14/id2930144/",report_canonical,nou-2022-14,5.0,regjeringen.no,https
"https://nettsteder.regjeringen.no/matsystemutvalget/",report_canonical,matsystemutvalget-2026,5.0,nettsteder.regjeringen.no,https
"https://www.regjeringen.no/no/dokumenter/meld.-st.-11-20232024/id3028626/",report_canonical,meld-st-11-selvforsyning,5.0,regjeringen.no,https
"https://www.regjeringen.no/no/dokumenter/meld.-st.-4-20242025/id3056808/",report_canonical,meld-st-4-dagligvare,5.0,regjeringen.no,https
"https://www.riksrevisjonen.no/rapporter-mappe/no-2023-2024/matsikkerhet-og-beredskap-pa-landbruksomradet/",report_canonical,riksrevisjonen-matsikkerhet-2023,5.0,riksrevisjonen.no,https
"https://www.regeringen.se/rattsliga-dokument/statens-offentliga-utredningar/2024/02/sou-20248/",report_canonical,sou-2024-8-svensk-beredskap,5.0,regeringen.se,https
"https://konkurransetilsynet.no/wp-content/uploads/2025/04/Konkurransetilsynets-Dagligvarerapport-2024-25.pdf",report_canonical,kt-dagligvarerapport-2024,5.0,konkurransetilsynet.no,https
"https://konkurransetilsynet.no/wp-content/uploads/2024/05/Rapport-marginstudie.pdf",report_canonical,kt-marginstudie-2024-del1,5.0,konkurransetilsynet.no,https
"https://konkurransetilsynet.no/wp-content/uploads/2025/01/Del-2.-Kartlegging-av-marginer-ved-bruk-av-informasjon-pa-produktniva.pdf",report_canonical,kt-marginstudie-2025-del2,5.0,konkurransetilsynet.no,https
"https://www.regjeringen.no/no/aktuelt/i-dag-far-konkurransetilsynet-et-nytt-verktoy-for-a-bekjempe-alvorlige-konkurranseproblemer/id3113837/",report_canonical,kt-markedsundersokelser-2026,5.0,regjeringen.no,https
"https://konkurransetilsynet.no/wp-content/uploads/2025/02/V2024-4-Offentlig-versjon-Coop-Norge-SA-Norgesgruppen-ASA-Rema-1000-AS-%E2%80%93-palegg-om-opphor-av-overtredelse-.pdf",report_canonical,kt-prisjeger-saken-2024,5.0,konkurransetilsynet.no,https
"https://konkurransetilsynet.no/dagligvare-forskjeller-i-innkjopspriser-ytterligere-redusert/",report_canonical,kt-innkjopspriser-2017-2023,5.0,konkurransetilsynet.no,https
"https://konkurransetilsynet.no/wp-content/uploads/2023/12/Utredning-om-prisjusteringsvinduer-2023.pdf",report_canonical,kt-prisjusteringsvinduer-2023,5.0,konkurransetilsynet.no,https
"https://konkurransetilsynet.no/wp-content/uploads/2018/08/NORDIC_FOOD_MARKETS.pdf",report_canonical,nordisk-food-markets-2005,5.0,konkurransetilsynet.no,https
"https://kfst.dk/konkurrenceforhold/afgoerelser/afgoerelser-paa-konkurrenceomraadet/raads-og-styrelsesafgoerelser/2025/20250326-salling-group-dele-af-coop-danmark",report_canonical,kfst-salling-coop-2025,5.0,kfst.dk,https
