ref,entity_type,problem,severity,suggested_action,priority
"URL-INVENTORY.md",file,orphan_file,LOW,"Confirm intentional archive copy; otherwise consider removal",
"arkiv-sortert/Food Research Process 20.04.26/00_Working_Files/Research-Report-Norges-matrevolusjon-2026.pdf",file,orphan_file,LOW,"Confirm intentional archive copy; otherwise consider removal",
"arkiv-sortert/Food Research Process 20.04.26/03_Policy_Governance_And_Market/2022-68-EMV-og-innovasjon-i-dagligvare-1.pdf",file,orphan_file,LOW,"Confirm intentional archive copy; otherwise consider removal",
"arkiv-sortert/Food Research Process 20.04.26/03_Policy_Governance_And_Market/20250326-salling-groups-erhvervelse-af-dele-af-coop-danmark-a.pdf",file,orphan_file,LOW,"Confirm intentional archive copy; otherwise consider removal",
"arkiv-sortert/Food Research Process 20.04.26/03_Policy_Governance_And_Market/Aarsrapport-Dagligvaretilsynet-2023.pdf",file,orphan_file,LOW,"Confirm intentional archive copy; otherwise consider removal",
"arkiv-sortert/Food Research Process 20.04.26/03_Policy_Governance_And_Market/Aarsrapport-Dagligvaretilsynet-2024.pdf",file,orphan_file,LOW,"Confirm intentional archive copy; otherwise consider removal",
"arkiv-sortert/Food Research Process 20.04.26/03_Policy_Governance_And_Market/Afgangsprojekt_HD1_Analyse_af_Salling_Group_AS_og_Coop_Danmark_AS.pdf",file,orphan_file,LOW,"Confirm intentional archive copy; otherwise consider removal",
"arkiv-sortert/Food Research Process 20.04.26/03_Policy_Governance_And_Market/Dagligvare_ Forskjeller i innkjøpspriser ytterligere redusert - Konkurransetilsynet.pdf",file,orphan_file,LOW,"Confirm intentional archive copy; otherwise consider removal",
"arkiv-sortert/Food Research Process 20.04.26/03_Policy_Governance_And_Market/Dagligvaretilsynet - Dagligvaretilsynet Hringssvar om endringer i lov om god handelsskikk handheving (2024).pdf",file,orphan_file,LOW,"Confirm intentional archive copy; otherwise consider removal",
"arkiv-sortert/Food Research Process 20.04.26/03_Policy_Governance_And_Market/Dagligvaretilsynet - Rapport om Samarbeidsklimaet i Dagligvarebransjen 2023 (2024).pdf",file,orphan_file,LOW,"Confirm intentional archive copy; otherwise consider removal",
"arkiv-sortert/Food Research Process 20.04.26/03_Policy_Governance_And_Market/Dagligvaretilsynet-tildelingsbrev-2024.pdf",file,orphan_file,LOW,"Confirm intentional archive copy; otherwise consider removal",
"arkiv-sortert/Food Research Process 20.04.26/03_Policy_Governance_And_Market/Dagligvaretilsynet-tildelingsbrev-2025.pdf",file,orphan_file,LOW,"Confirm intentional archive copy; otherwise consider removal",
"arkiv-sortert/Food Research Process 20.04.26/03_Policy_Governance_And_Market/Dagligvaretilsynet-tildelingsbrev-2026.pdf",file,orphan_file,LOW,"Confirm intentional archive copy; otherwise consider removal",
"arkiv-sortert/Food Research Process 20.04.26/03_Policy_Governance_And_Market/Del-2.-Kartlegging-av-marginer-ved-bruk-av-informasjon-pa-produktniva.pdf",file,orphan_file,LOW,"Confirm intentional archive copy; otherwise consider removal",
